ble_count,CLB_groups_per_xb,lut_size,fc_in,fc_out,fs,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
2,2,5,0.15,0.1,3,7.551e-11,7.189e-11,6.059e-11,9.436e-11,3.149e-11,2628.010484739385,1.2559575028878802,1.5082318657594311,15.737586350821559,9.37363343927815
2,1,5,0.15,0.1,3,7.462e-11,7.113e-11,5.434e-11,9.024e-11,2.981e-11,2374.575824710148,1.2559575028878802,1.5082318657594311,15.866437792461717,9.364353506744372
2,3,5,0.15,0.1,3,7.559e-11,7.169e-11,6.931e-11,1.044e-10,2.792e-11,2828.132732809179,1.2559575028878802,1.5082318657594311,15.70879827224471,9.378268993524676
2,4,5,0.15,0.1,3,7.585e-11,7.262e-11,7.084e-11,1.047e-10,2.919e-11,2975.960707982943,1.2559575028878802,1.5082318657594311,15.70280562322767,9.382901625393187
3,2,5,0.15,0.1,3,8.236e-11,6.98e-11,6.395e-11,1.024e-10,3.15e-11,4228.740619330664,1.2559575028878802,1.5082318657594311,19.57108892908998,9.413046827812858
3,3,5,0.15,0.1,3,8.267e-11,7.152e-11,6.377e-11,9.93e-11,3.2e-11,4525.84996323514,1.2559575028878802,1.5082318657594311,19.507038156339675,9.29594234593815
3,4,5,0.15,0.1,3,8.251e-11,7.023e-11,9.28e-11,1.273e-10,3.114e-11,4661.017985170562,1.2559575028878802,1.5082318657594311,19.602072244889506,9.31313229203832
3,1,5,0.15,0.1,3,8.192e-11,6.852e-11,5.236e-11,8.731e-11,3.267e-11,3575.0306949026735,1.2559575028878802,1.5082318657594311,19.75223815498713,9.402541470496844
4,2,5,0.15,0.1,3,8.484e-11,6.91e-11,8.063e-11,1.209e-10,3.335e-11,5511.145422290513,1.2559575028878802,1.5082318657594311,21.93168835531323,9.211735707878198
4,1,5,0.15,0.1,3,8.164e-11,7.155e-11,5.498e-11,8.742e-11,3.287e-11,4994.904722494178,1.2559575028878802,1.741,21.199687750559654,9.505570983654955
